Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;68;Рязанская область;регион;2019;61000000;61000000;"28,9";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;69;Самарская область;регион;2019;36000000;36000000;"27,8";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;70;Санкт-Петербург;регион;2019;40000000;40000000;"8,5";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;71;Саратовская область;регион;2019;63000000;63000000;"-16,7";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;72;Сахалинская область;регион;2019;64000000;64000000;"51,2";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;73;Свердловская область;регион;2019;65000000;65000000;"77,1";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;74;Севастополь;регион;2019;67000000;67000000;"-6,5";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;78;Смоленская область;регион;2019;66000000;66000000;"92,9";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;79;Ставропольский край;регион;2019;07000000;07000000;"0,5";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
Состояние и загрязнение почвы;Индекс нейтрального баланса деградации земель (от -100% до 100%);R401000310;процент;80;Тамбовская область;регион;2019;68000000;68000000;"21,3";"Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019,"
